tahun,bulan,kota_kabupaten,kecamatan,kelurahan,jenis_kelamin ,jumlah
2020,10,JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,Perempuan,44
2020,10,JAKARTA TIMUR,CIRACAS,SUSUKAN,Perempuan,30
2020,10,JAKARTA TIMUR,CIRACAS,RAMBUTAN,Perempuan,22
2020,10,JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,Perempuan,22
2020,10,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,Perempuan,25
2020,10,JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,Perempuan,15
2020,10,JAKARTA TIMUR,CIPAYUNG,MUNJUL,Perempuan,16
2020,10,JAKARTA TIMUR,CIPAYUNG,SETU,Perempuan,7
2020,10,JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,Perempuan,9
2020,10,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,Perempuan,38
2020,10,JAKARTA TIMUR,CIPAYUNG,CEGER,Perempuan,14
